광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세 이상계,인구수계,소멸비율,소멸위기지역,소멸위기고위험지역
경상북도,영양군,2242,1261,981,6125,16667,0.1602,True,True
경상북도,영주시,18594,10432,8163,27545,103452,0.2964,True,False
경상북도,영천시,19951,11381,8572,28034,101506,0.3058,True,False
경상북도,예천군,9631,5084,4548,16520,55042,0.2753,True,False
경상북도,울릉군,1768,1059,713,2291,9185,0.3112,True,False
경상북도,울진군,8904,5042,3864,13424,48710,0.2878,True,False
경상북도,의성군,6607,3743,2865,21081,51647,0.1359,True,True
경상북도,청도군,5821,3276,2547,15701,42279,0.1622,True,True
경상북도,청송군,3527,2088,1439,9189,25052,0.1566,True,True
경상북도,칠곡군,28045,15524,12522,17669,114969,0.7087,False,False
광주광역시,광산구,113180,58566,54616,37126,403810,1.4711,False,False
광주광역시,남구,54446,27512,26935,36561,214845,0.7367,False,False
광주광역시,동구,27106,14033,13073,21207,99138,0.6164,False,False
광주광역시,북구,118632,61966,56668,62737,429591,0.9033,False,False
광주광역시,서구,82728,42130,40599,41057,297084,0.9888,False,False
대구광역시,남구,37443,19243,18202,32971,145124,0.5521,False,False
대구광역시,달서구,147638,77792,69847,77721,560982,0.8987,False,False
대구광역시,달성군,71490,38075,33417,31631,257019,1.0565,False,False
대구광역시,동구,86337,45826,40511,64999,340729,0.6233,False,False
대구광역시,북구,115385,61397,53992,61525,436380,0.8776,False,False
대구광역시,서구,39938,22256,17683,37166,170923,0.4758,True,False
대구광역시,수성구,98867,50902,47965,64405,423483,0.7447,False,False
대구광역시,중구,22509,11223,11288,15239,75567,0.7407,False,False
대전광역시,대덕구,44730,24561,20171,26758,175497,0.7538,False,False
대전광역시,동구,56703,30262,26442,41078,222608,0.6437,False,False
대전광역시,서구,140045,71323,68725,58712,476497,1.1705,False,False
대전광역시,유성구,108310,57104,51206,32159,348735,1.5923,False,False
대전광역시,중구,57858,29719,28139,44187,235822,0.6368,False,False
부산광역시,강서구,38916,20200,18716,15634,132918,1.1971,False,False
부산광역시,금정구,59641,31634,28008,47025,233506,0.5956,False,False
부산광역시,기장군,41060,20934,20127,26315,168798,0.7648,False,False
부산광역시,남구,66626,34740,31886,51966,268383,0.6136,False,False
부산광역시,동구,20553,10754,9801,22185,86801,0.4418,True,False
부산광역시,동래구,66293,34017,32277,47578,268387,0.6784,False,False
부산광역시,부산진구,99361,49817,49546,67325,354108,0.7359,False,False
부산광역시,북구,72717,38408,34310,47158,285666,0.7276,False,False
부산광역시,사상구,55276,29596,25681,37178,213286,0.6908,False,False
부산광역시,사하구,78920,42036,36886,56959,313486,0.6476,False,False
부산광역시,서구,24756,12512,12244,25915,105948,0.4725,True,False
