ID,광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세 이상계,인구수계,소멸비율,소멸위기지역,소멸위기고위험지역,y,x,20-30대 성비율
고성(경남),경상남도,고성군,8064,4582,3482,15730,51428,0.2214,1,0,21,7,-0.2400698384984723
김해,경상남도,김해시,139958,73877,66083,59060,539477,1.1189,0,0,20,9,-0.10549968190370484
남해,경상남도,남해군,5851,3331,2521,16050,43005,0.1571,1,1,22,6,-0.24317021915340742
창원 합포,경상남도,마산합포구,40335,21795,18541,36206,175083,0.5121,0,0,20,6,-0.14930029823353985
창원 회원,경상남도,마산회원구,44890,24201,20690,32212,191188,0.6423,0,0,20,7,-0.14507664972521794
밀양,경상남도,밀양시,18384,10128,8256,28928,104301,0.2854,1,0,17,8,-0.18483412322274884
사천,경상남도,사천시,23089,13043,10047,23840,110680,0.4214,1,0,21,6,-0.22970175573104346
산청,경상남도,산청군,4759,2644,2116,12547,34845,0.1686,1,1,18,6,-0.199697428139183
창원 성산,경상남도,성산구,63082,34293,28789,17468,216963,1.6481,0,0,20,8,-0.16049922724754329
양산,경상남도,양산시,91513,47855,43658,46295,350004,0.943,0,0,19,8,-0.08770243443736292
의령,경상남도,의령군,3909,2132,1777,9777,26832,0.1818,1,1,18,7,-0.16651031894934332
창원 의창,경상남도,의창구,71166,38525,32642,31716,259218,1.0292,0,0,19,7,-0.1527060350421804
진주,경상남도,진주시,86859,46032,40828,57119,346176,0.7148,0,0,19,6,-0.11305179005908927
창원 진해,경상남도,진해구,48513,26151,22363,26642,192315,0.8394,0,0,21,8,-0.14485105732094372
창녕,경상남도,창녕군,10364,5824,4543,18628,61342,0.2439,1,0,17,7,-0.21995192307692313
통영,경상남도,통영시,26113,13875,12239,24327,128933,0.5031,0,0,22,7,-0.1179099099099099
하동,경상남도,하동군,6591,3798,2796,15239,45390,0.1835,1,1,20,5,-0.2638230647709321
함안,경상남도,함안군,11629,6321,5309,15608,64502,0.3401,1,0,19,5,-0.1601012498022465
함양,경상남도,함양군,5849,3200,2650,12940,39045,0.2048,1,0,17,6,-0.171875
합천,경상남도,합천군,5835,3287,2548,17183,44160,0.1483,1,1,16,7,-0.22482506845147554
경산,경상북도,경산시,69597,37754,31844,43051,261751,0.7397,0,0,13,11,-0.15653970440218257
경주,경상북도,경주시,53175,29197,23979,55535,252663,0.4318,1,0,12,12,-0.1787169914717266
고령,경상북도,고령군,5047,2840,2209,9745,31647,0.2267,1,0,13,9,-0.22218309859154928
구미,경상북도,구미시,124029,67022,57007,38533,416001,1.4794,0,0,11,9,-0.14942854585061627
군위,경상북도,군위군,3010,1764,1246,9274,23385,0.1344,1,1,11,10,-0.2936507936507936
김천,경상북도,김천시,30287,16483,13806,31687,140112,0.4357,1,0,11,8,-0.1624097555056725
포항 남구,경상북도,남구,54569,30624,23945,38988,231641,0.6142,0,0,11,12,-0.21809691745036575
문경,경상북도,문경시,12188,6673,5516,21066,71267,0.2618,1,0,10,9,-0.1733852839802188
봉화,경상북도,봉화군,4109,2297,1814,11291,31492,0.1607,1,1,7,11,-0.21027427078798433
포항 북구,경상북도,북구,63114,33858,29256,45353,270547,0.6451,0,0,10,12,-0.1359206096048201
상주,경상북도,상주시,16322,9157,7165,29928,98241,0.2394,1,0,10,8,-0.21753849514032986
성주,경상북도,성주군,7030,4003,3028,13625,43400,0.2222,1,0,12,9,-0.24356732450662
안동,경상북도,안동시,32600,17378,15222,38301,158634,0.3974,1,0,10,10,-0.12406490965588679
영덕,경상북도,영덕군,5059,2775,2284,13498,36484,0.1692,1,1,9,11,-0.1769369369369369
영양,경상북도,영양군,2242,1261,981,6125,16667,0.1602,1,1,8,11,-0.22204599524187152
영주,경상북도,영주시,18594,10432,8163,27545,103452,0.2964,1,0,8,10,-0.2175038343558282
영천,경상북도,영천시,19951,11381,8572,28034,101506,0.3058,1,0,12,11,-0.24681486688340215
예천,경상북도,예천군,9631,5084,4548,16520,55042,0.2753,1,0,9,10,-0.10542879622344614
울릉,경상북도,울릉군,1768,1059,713,2291,9185,0.3112,1,0,8,13,-0.32672332389046266
울진,경상북도,울진군,8904,5042,3864,13424,48710,0.2878,1,0,6,11,-0.23363744545815157
의성,경상북도,의성군,6607,3743,2865,21081,51647,0.1359,1,1,11,11,-0.23457119957253536
청도,경상북도,청도군,5821,3276,2547,15701,42279,0.1622,1,1,13,10,-0.22252747252747251
청송,경상북도,청송군,3527,2088,1439,9189,25052,0.1566,1,1,10,11,-0.31082375478927204
칠곡,경상북도,칠곡군,28045,15524,12522,17669,114969,0.7087,0,0,12,10,-0.19337799536202005
광주 광산,광주광역시,광산구,113180,58566,54616,37126,403810,1.4711,0,0,21,2,-0.06744527541577028
광주 남구,광주광역시,남구,54446,27512,26935,36561,214845,0.7367,0,0,23,2,-0.02097266647281182
광주 동구,광주광역시,동구,27106,14033,13073,21207,99138,0.6164,0,0,23,3,-0.06841017601368204
광주 북구,광주광역시,북구,118632,61966,56668,62737,429591,0.9033,0,0,22,3,-0.08549849917696806
광주 서구,광주광역시,서구,82728,42130,40599,41057,297084,0.9888,0,0,22,2,-0.03633990030856871
대구 남구,대구광역시,남구,37443,19243,18202,32971,145124,0.5521,0,0,15,8,-0.05409759393026037
대구 달서,대구광역시,달서구,147638,77792,69847,77721,560982,0.8987,0,0,16,8,-0.10213132455779517
대구 달성,대구광역시,달성군,71490,38075,33417,31631,257019,1.0565,0,0,16,9,-0.12233749179251474
대구 동구,대구광역시,동구,86337,45826,40511,64999,340729,0.6233,0,0,14,10,-0.11598219351459871
대구 북구,대구광역시,북구,115385,61397,53992,61525,436380,0.8776,0,0,14,9,-0.12060849878658564
대구 서구,대구광역시,서구,39938,22256,17683,37166,170923,0.4758,1,0,14,8,-0.20547268152408338
대구 수성,대구광역시,수성구,98867,50902,47965,64405,423483,0.7447,0,0,15,10,-0.057699108090055407
대구 중구,대구광역시,중구,22509,11223,11288,15239,75567,0.7407,0,0,15,9,0.0057916778045086215
대전 대덕,대전광역시,대덕구,44730,24561,20171,26758,175497,0.7538,0,0,13,5,-0.1787386507064045
대전 동구,대전광역시,동구,56703,30262,26442,41078,222608,0.6437,0,0,14,5,-0.12623091666115926
대전 서구,대전광역시,서구,140045,71323,68725,58712,476497,1.1705,0,0,16,4,-0.03642583738765892
대전 유성,대전광역시,유성구,108310,57104,51206,32159,348735,1.5923,0,0,15,4,-0.10328523395909217
대전 중구,대전광역시,중구,57858,29719,28139,44187,235822,0.6368,0,0,15,5,-0.05316464214812078
부산 강서,부산광역시,강서구,38916,20200,18716,15634,132918,1.1971,0,0,18,8,-0.07346534653465342
부산 금정,부산광역시,금정구,59641,31634,28008,47025,233506,0.5956,0,0,16,11,-0.11462350635392304
부산 기장,부산광역시,기장군,41060,20934,20127,26315,168798,0.7648,0,0,16,12,-0.038549727715677884
부산 남구,부산광역시,남구,66626,34740,31886,51966,268383,0.6136,0,0,20,11,-0.08215313759355214
부산 동구,부산광역시,동구,20553,10754,9801,22185,86801,0.4418,1,0,18,10,-0.08861818858099313
부산 동래,부산광역시,동래구,66293,34017,32277,47578,268387,0.6784,0,0,17,11,-0.051150895140664954
부산 부산진,부산광역시,부산진구,99361,49817,49546,67325,354108,0.7359,0,0,17,10,-0.005439910070859311
부산 북구,부산광역시,북구,72717,38408,34310,47158,285666,0.7276,0,0,16,10,-0.1066965215580088
부산 사상,부산광역시,사상구,55276,29596,25681,37178,213286,0.6908,0,0,17,9,-0.13228138937694278
부산 사하,부산광역시,사하구,78920,42036,36886,56959,313486,0.6476,0,0,19,9,-0.12251403558854312
부산 서구,부산광역시,서구,24756,12512,12244,25915,105948,0.4725,1,0,18,9,-0.021419437340153502
부산 수영,부산광역시,수영구,47944,23732,24212,36166,174591,0.6695,0,0,19,11,0.020225855385133995
부산 연제,부산광역시,연제구,53627,27091,26538,38595,207199,0.6876,0,0,18,11,-0.020412683178915536
부산 영도,부산광역시,영도구,23103,12545,10558,30089,113043,0.3509,1,0,20,10,-0.15838979673176568
부산 중구,부산광역시,중구,10011,5197,4814,10430,40446,0.4616,1,0,19,10,-0.07369636328651141
부산 해운대,부산광역시,해운대구,96706,48924,47782,67224,400015,0.7108,0,0,17,12,-0.023342326874335684
서울 강남,서울특별시,강남구,156053,73037,83016,70008,530126,1.1858,0,0,7,7,0.13662937962950283
서울 강동,서울특별시,강동구,129061,64443,64619,65025,441733,0.9938,0,0,5,8,0.0027310956969726075
서울 강북,서울특별시,강북구,82271,41772,40500,60093,305512,0.674,0,0,3,5,-0.030451019821890246
서울 강서,서울특별시,강서구,187063,91396,95668,84457,579138,1.1327,0,0,5,4,0.04674165171342293
서울 관악,서울특별시,관악구,194638,100403,94236,74422,489799,1.2662,0,0,8,5,-0.061422467456151764
서울 광진,서울특별시,광진구,118572,57257,61316,47428,343783,1.2928,0,0,6,7,0.07089089543636584
서울 구로,서울특별시,구로구,118714,59478,59236,65807,400915,0.9001,0,0,8,4,-0.004068731295605144
서울 금천,서울특별시,금천구,71700,38053,33649,37128,228342,0.9063,0,0,7,4,-0.11573331931779363
서울 노원,서울특별시,노원구,138920,70420,68501,81587,522235,0.8396,0,0,2,6,-0.027250781028117066
서울 도봉,서울특별시,도봉구,85633,43763,41870,59158,325050,0.7078,0,0,2,5,-0.043255718300847734
서울 동대문,서울특별시,동대문구,105551,53695,51858,58129,337801,0.8921,0,0,4,7,-0.03421175155973555
서울 동작,서울특별시,동작구,128785,63797,64988,61506,387859,1.0566,0,0,6,5,0.01866858943210503
서울 마포,서울특별시,마포구,125017,58053,66965,50654,365392,1.322,0,0,5,5,0.15351489156460474
서울 서대문,서울특별시,서대문구,93510,45754,47757,50450,304074,0.9466,0,0,4,5,0.043777593215893695
서울 서초,서울특별시,서초구,119306,56033,63275,56204,419614,1.1258,0,0,7,6,0.12924526618242815
서울 성동,서울특별시,성동구,94648,46710,47938,42932,291841,1.1166,0,0,5,7,0.026289873688717602
