상호,주소,가격,셀프,상표,구
재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),1779,Y,HD현대오일뱅크,강동구
구천면주유소,서울 강동구 구천면로 357 (암사동),1824,N,HD현대오일뱅크,강동구
(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),1835,Y,GS칼텍스,강동구
(주)소모 신월주유소,서울 강동구 양재대로 1323 (성내동),1836,Y,GS칼텍스,강동구
대성석유(주)길동주유소,서울 강동구 천호대로 1168,1846,N,GS칼텍스,강동구
방아다리주유소,서울 강동구 동남로 811 (명일동),1849,Y,SK에너지,강동구
명일주유소,서울 강동구 고덕로 168 (명일동),1855,Y,SK에너지,강동구
지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),1861,Y,GS칼텍스,강동구
(주)소모 성내주유소,서울 강동구 올림픽로 578 (성내동),1868,Y,GS칼텍스,강동구
(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),1870,Y,S-OIL,강동구
sk해뜨는주유소,서울 강동구  상일로 132 (강일동),1879,Y,SK에너지,강동구
주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),1885,N,SK에너지,강동구
천호현대주유소,서울 강동구 천중로 67 (천호동),2050,N,HD현대오일뱅크,강동구
광성주유소,서울 강동구 올림픽로 673 (천호동),2118,N,S-OIL,강동구
(주)자연에너지 국민주유소,서울 동대문구 답십리로 223 (답십리동),1759,Y,HD현대오일뱅크,동대문구
풍한주유소,서울 동대문구 안암로 168,1765,N,SK에너지,동대문구
재정주유소,서울 동대문구 전농로 121 (전농동),1769,Y,HD현대오일뱅크,동대문구
재정제2주유소,서울 동대문구 사가정로 90 (전농동),1769,Y,HD현대오일뱅크,동대문구
삼영주유소,서울 동대문구 답십리로 258 (장안동),1787,N,SK에너지,동대문구
(주)경동주유소,서울 동대문구 이문로 191 (이문동),1795,Y,S-OIL,동대문구
열린주유소,서울 동대문구 한천로 263 (휘경동),1799,N,S-OIL,동대문구
대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),1799,Y,GS칼텍스,동대문구
HD현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),1809,N,HD현대오일뱅크,동대문구
홍능주유소,서울 동대문구 홍릉로 87 (청량리동),1817,N,S-OIL,동대문구
(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),1818,Y,SK에너지,동대문구
대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),1819,Y,GS칼텍스,동대문구
동서울고속주유소,서울 동대문구 한천로 414,1819,Y,SK에너지,동대문구
한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),1825,N,HD현대오일뱅크,동대문구
(주)파랑에너지,서울 동대문구 망우로 126,1825,Y,GS칼텍스,동대문구
오동나무주유소,서울 동대문구  한천로 81 (답십리동),1828,N,S-OIL,동대문구
배봉로주유소,서울 동대문구 서울시립대로 108,1835,Y,HD현대오일뱅크,동대문구
삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),1858,Y,SK에너지,동대문구
지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,1790,N,GS칼텍스,동작구
창원이엔지주유소,서울 동작구 사당로 59 (상도동),1799,Y,HD현대오일뱅크,동작구
HD현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),1799,Y,HD현대오일뱅크,동작구
HD현대오일뱅크㈜직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),1809,Y,HD현대오일뱅크,동작구
지에스칼텍스㈜직영 남성주유소,서울 동작구 동작대로 135 (사당동),1819,Y,GS칼텍스,동작구
매일주유소,서울 동작구 상도로 139 (상도동),1829,Y,S-OIL,동작구
HD현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),1829,Y,HD현대오일뱅크,동작구
HD현대오일뱅크㈜직영 동작주유소,서울 동작구 상도로 403 (상도동),1839,N,HD현대오일뱅크,동작구
살피재주유소,서울 동작구 상도로 334,1925,N,SK에너지,동작구
성산대교셀프주유소,서울 마포구 성산로 144,1787,Y,HD현대오일뱅크,마포구
마포시엠주유소,서울 마포구 월드컵북로 62,1787,N,SK에너지,마포구
청원주유소,서울 마포구 월드컵북로 113 (성산동),1797,Y,HD현대오일뱅크,마포구
에쓰오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),1835,Y,S-OIL,마포구
용강주유소,서울 마포구 토정로 258,1845,N,S-OIL,마포구
에스에스오토셀프,서울 마포구 서강로 76 (창전동),1855,Y,HD현대오일뱅크,마포구
(주)만성상사 대흥주유소,서울 마포구 대흥로 61 (대흥동),1865,N,SK에너지,마포구
성산주유소,서울 마포구 월드컵북로 170 (성산제2동),1877,N,SK에너지,마포구
(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),1877,N,SK에너지,마포구
SK에너지(주) 안국주유소,서울 마포구 양화로 33,1919,N,SK에너지,마포구
SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),1919,N,SK에너지,마포구
(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,1782,Y,HD현대오일뱅크,서대문구
(주)한화미 구도일주유소 두꺼비,서울 서대문구 성산로 312,1782,Y,S-OIL,서대문구
(주)미래아스팔트 신우주유소,서울 서대문구 가좌로 106(홍은동),1782,Y,S-OIL,서대문구
지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,1784,Y,GS칼텍스,서대문구
HD현대오일뱅크㈜직영 연세주유소,서울 서대문구 연희로 184,1785,Y,HD현대오일뱅크,서대문구
남정주유소,서울 서대문구 모래내로 243 (남가좌동),1788,N,GS칼텍스,서대문구
(주)창원이엔지 홍제지점,서울 서대문구 통일로 455 (홍제동),1789,N,HD현대오일뱅크,서대문구
HD현대오일뱅크㈜직영 독립문주유소,서울 서대문구 통일로 384 (홍제동),1789,N,HD현대오일뱅크,서대문구
(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로 78 (연희동),1808,Y,SK에너지,서대문구
중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),1825,Y,SK에너지,서대문구
㈜우남에너지 문화사랑주유소,서울 서대문구 세검정로 87 (홍제동),1829,Y,S-OIL,서대문구
행촌제2주유소,서울 서대문구 성산로 490 (대신동),1843,Y,SK에너지,서대문구
삼미상사(주)서부주유소,서울 서대문구 성산로 255,1844,Y,SK에너지,서대문구
광호주유소,서울 서대문구 연희로 266 (홍은동),1858,N,SK에너지,서대문구
연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),1858,N,SK에너지,서대문구
만남의광장주유소,서울 서초구 양재대로12길 73-71,1724,Y,알뜰(ex),서초구
(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),1795,Y,SK에너지,서초구
양재최고주유소,서울 서초구 매헌로 72 (양재동),1795,N,S-OIL,서초구
(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),1805,Y,GS칼텍스,서초구
극동유화(주) 전당앞주유소,서울 서초구 남부순환로 2391 (서초동),1805,Y,S-OIL,서초구
신반포주유소,서울 서초구 사평대로 94 (반포동),1806,Y,SK에너지,서초구
한독주유소,서울 서초구 방배로 218 (방배동),1806,Y,GS칼텍스,서초구
HD현대오일뱅크㈜직영 팔레스주유소,서울 서초구 사평대로 136 (반포동),1807,N,HD현대오일뱅크,서초구
에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),1809,Y,S-OIL,서초구
HD현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로 350 (서초동),1813,N,HD현대오일뱅크,서초구
태봉셀프주유소,서울 서초구 태봉로 117 (우면동),1815,Y,SK에너지,서초구
서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),1815,Y,GS칼텍스,서초구
서초하이웨이 주유소,서울 서초구 양재대로2길 100-30,1817,Y,S-OIL,서초구
에너지플러스허브 삼방주유소,서울 서초구 사평대로 364 (서초동),1819,Y,GS칼텍스,서초구
지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),1819,N,GS칼텍스,서초구
반포그린주유소,서울 서초구 서초중앙로 239 (반포동),1819,Y,GS칼텍스,서초구
말죽거리주유소,서울 서초구 남부순환로 2650 (양재동),1826,N,GS칼텍스,서초구
대성산업(주)직영 강남주유소,서울 서초구 반포대로 284 (반포동),1829,Y,GS칼텍스,서초구
HD현대오일뱅크㈜직영 양재현대주유소,서울 서초구 마방로 6,1829,N,HD현대오일뱅크,서초구
HD현대오일뱅크㈜직영 방배현대주유소,서울 서초구 동작대로 182 (방배동),1829,N,HD현대오일뱅크,서초구
HD현대오일뱅크㈜직영 서초제일주유소,서울 서초구 사임당로 116 (서초동),1829,N,HD현대오일뱅크,서초구
양재주유소,서울 서초구 바우뫼로 178,1834,N,SK에너지,서초구
대성석유(주)연일주유소,서울 서초구 남부순환로 2451,1836,N,GS칼텍스,서초구
대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),1839,Y,SK에너지,서초구
헌릉로주유소,서울 서초구 헌릉로 177 (내곡동),1839,Y,S-OIL,서초구
지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),1859,N,GS칼텍스,서초구
대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로 222 (반포동),1869,N,GS칼텍스,서초구
방배동주유소,서울 서초구 효령로 29 (방배동),1893,N,SK에너지,서초구
(주)선문에너지 중앙주유소,서울특별시 서초구  바우뫼로 219 (양재1동),2098,N,S-OIL,서초구
대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),2098,N,SK에너지,서초구
(주)서울에너지 직영,서울 성동구 천호대로 324 (용답동),1765,Y,S-OIL,성동구
HD현대오일뱅크㈜직영 성동셀프주유소,서울 성동구 마장로 311 (마장동),1775,Y,HD현대오일뱅크,성동구
KLP제2주유소,서울 성동구 동일로 249 (송정동),1786,Y,HD현대오일뱅크,성동구
지에스칼텍스㈜ 도루코주유소,서울 성동구 아차산로 180,1786,Y,GS칼텍스,성동구
정호주유소,서울 성동구 고산자로 307 (마장동),1788,N,자가상표,성동구
아이콘주유소,서울 성동구 고산자로 273 (도선동),1788,Y,S-OIL,성동구
HD현대오일뱅크㈜직영 효진주유소,서울 성동구 동일로 129,1788,N,HD현대오일뱅크,성동구
SK에너지(주) 군자동주유소,서울 성동구 천호대로 446 (용답동),1845,N,SK에너지,성동구
SK에너지(주) 성수주유소,서울 성동구 뚝섬로 352 (성수동1가),1878,N,SK에너지,성동구
SK세원2주유소,서울 성동구 광나루로 184 (성수동1가),1920,N,SK에너지,성동구
SK KH에너지 성수만세주유소,서울 성동구 왕십리로 109,1928,Y,SK에너지,성동구
삼우주유소,서울 성동구 천호대로 392,1950,N,SK에너지,성동구
금호주유소,서울 성동구 금호로 39 (금호동4가),2034,N,GS칼텍스,성동구
동일주유소,서울 성동구 광나루로 254 (성수동2가),2075,N,HD현대오일뱅크,성동구
청계로주유소,서울 성동구 청계천로 454 (하왕십리동),2245,N,SK에너지,성동구
(주)옥수하이웨이스테이션,서울 성동구 독서당로 168 (옥수동),2388,N,GS칼텍스,성동구
원천주유소,서울 성북구 돌곶이로 142 (장위동),1763,N,알뜰주유소,성북구
장위주유소,서울 성북구 화랑로 110 (하월곡동),1765,Y,S-OIL,성북구
장삼 쌍둥이 주유소,서울 성북구 한천로 612 (장위동),1765,Y,HD현대오일뱅크,성북구
(주)성북주유소,서울 성북구 보문로 142,1768,Y,HD현대오일뱅크,성북구
이케이에너지(주) 강산제2주유소,서울 성북구 보국문로 52,1769,Y,HD현대오일뱅크,성북구
지에스칼텍스(주) 종암주유소,서울 성북구 종암로 145 (종암동),1769,Y,GS칼텍스,성북구
이케이에너지㈜ 강산주유소,서울 성북구 보문로 27 (보문동7가),1769,Y,GS칼텍스,성북구
(주)삼표에너지 정릉주유소,서울 성북구 보국문로 35 (정릉동),1769,Y,GS칼텍스,성북구
(주)신용 구도일주유소화랑로,서울 성북구 화랑로 174,1773,Y,S-OIL,성북구
우리주유소,서울 성북구 화랑로 292,1774,Y,SK에너지,성북구
중앙에너비스 종암지점,서울 성북구 종암로 58,1779,Y,SK에너지,성북구
HD현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로 12 (종암동),1785,Y,HD현대오일뱅크,성북구
재정제2주유소 길음지점,서울 성북구 삼양로 78 (길음동),1789,N,HD현대오일뱅크,성북구
HD현대오일뱅크㈜직영 북악셀프주유소,서울 성북구 정릉로 218 (정릉동),1789,Y,HD현대오일뱅크,성북구
지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로 185,1789,N,GS칼텍스,성북구
㈜명연에너지 효성주유소,서울 성북구 화랑로 27,1795,Y,GS칼텍스,성북구
신동방주유소,서울 성북구 월계로 84 (장위동),1799,Y,S-OIL,성북구
SK에너지(주) 드림랜드주유소,서울 성북구 월계로 128 (장위동),1799,N,SK에너지,성북구
신방주유소,서울 성북구 안암로 111 (안암동5가),1799,N,S-OIL,성북구
HD현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로 96 (정릉동),1827,N,HD현대오일뱅크,성북구
동일주유소,서울특별시 성북구  보문로 85 (보문동5가),1829,Y,S-OIL,성북구
지에스칼텍스㈜ 세창주유소,서울 성북구 동소문로 323,1859,Y,GS칼텍스,성북구
삼선주유소,서울 성북구 창경궁로 324,1925,Y,S-OIL,성북구
상아주유소,서울 송파구 거마로 82,1768,Y,S-OIL,송파구
지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로 740,1773,Y,GS칼텍스,송파구
지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로 43 (장지동),1773,Y,GS칼텍스,송파구
위례드림주유소,서울시 송파구  위례중앙로 10,1773,Y,S-OIL,송파구
위례제일주유소,서울 송파구 위례서로 260,1773,Y,S-OIL,송파구
대성주유소,서울 송파구 마천로 230 (마천동),1788,N,SK에너지,송파구
(주)유진주유소,서울 송파구 동남로 325 (오금동),1794,N,SK에너지,송파구
삼화주유소,서울 송파구 백제고분로 125,1795,Y,GS칼텍스,송파구
(주)잠실에너지,서울 송파구 송파대로 442 (송파동),1795,Y,S-OIL,송파구
HD현대오일뱅크㈜직영 잠실셀프주유소,서울 송파구 송파대로 397 (석촌동),1795,Y,HD현대오일뱅크,송파구
지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),1795,Y,HD현대오일뱅크,송파구
(주)삼표에너지 아시아주유소,서울 송파구 도곡로 438 (잠실동),1795,Y,GS칼텍스,송파구
(주)삼표에너지 훼미리주유소,서울 송파구 중대로 58 (문정동),1803,N,GS칼텍스,송파구
(주)신화에너지 서울지점,서울 송파구 가락로 47 (석촌동),1805,Y,SK에너지,송파구
남성대주유소,서울 송파구 송파대로 52 (장지동),1813,Y,SK에너지,송파구
완불주유소,서울 송파구 송파대로 3 (장지동),1814,Y,SK에너지,송파구
(주)삼표에너지 우리주유소,서울 송파구 동남로 153,1815,Y,GS칼텍스,송파구
제트라인DM주유소,서울 송파구 중대로 183 (가락동),1815,N,HD현대오일뱅크,송파구
(주)정직한주유소,서울 송파구 오금로 455 (거여동),1817,Y,HD현대오일뱅크,송파구
백제고분로주유소,서울 송파구 오금로 143 (방이동),1825,Y,SK에너지,송파구
한강에너지(주)퍼스트주유소,서울 송파구 삼학사로 22 (석촌동),1825,Y,SK에너지,송파구
방이주유소,서울 송파구 위례성대로12길 38 (방이동),1825,N,SK에너지,송파구
송파주유소,서울 송파구 송이로 28 (송파동),1825,Y,GS칼텍스,송파구
(주)퍼스트오일서울주유소,서울 송파구 문정로 153,1830,N,S-OIL,송파구
HD현대오일뱅크㈜직영 올림픽셀프주유소,서울 송파구 위례성대로 188 (오금동),1836,Y,HD현대오일뱅크,송파구
대성석유(주)석촌주유소,서울 송파구 백제고분로 289,1847,N,GS칼텍스,송파구
(주)뉴명성산업 남성주유소,서울 송파구 백제고분로 474 (방이동),1929,N,HD현대오일뱅크,송파구
대신석유(주)진양주유소,서울 송파구 올림픽로 499 (풍납동),1998,N,SK에너지,송파구
가로공원주유소,서울 양천구 가로공원로 165 (신월동),1737,N,SK에너지,양천구
현대주유소,서울 양천구 남부순환로 372 (신월동),1738,Y,S-OIL,양천구
플라트(주)서호주유소,서울 양천구 남부순환로 317,1745,Y,GS칼텍스,양천구
양천구주유소,서울 양천구 국회대로 275 (목동),1745,Y,알뜰주유소,양천구
형산석유(주)원주유소,서울 양천구 남부순환로 408,1758,N,HD현대오일뱅크,양천구
개나리Self주유소,서울 양천구 남부순환로 442 (신월동),1758,Y,SK에너지,양천구
(주)타이거오일 신정주유소,서울 양천구 중앙로 226 (신정동),1764,Y,SK에너지,양천구
