상호,주소,가격,셀프,상표,구
(주)남경주유소,서울 용산구 녹사평대로11길 24,2245,N,SK에너지,용산구
에너비스,서울 용산구 한남대로 82 (한남동),2297,N,SK에너지,용산구
한남지점,서울 용산구 한남대로21길 4 (한남동),2297,N,SK에너지,용산구
한석주유소,서울 용산구 이촌로 164,2446,N,SK에너지,용산구
서계주유소,서울 용산구  청파로 367 (청파동),2773,N,GS칼텍스,용산구
(주)디오티디 은평유니콘주유소,서울 은평구 통일로 1151 (진관동),1694,N,HD현대오일뱅크,은평구
타이거주유소,서울 은평구 수색로 188 (증산동),1739,Y,SK에너지,은평구
㈜오일닷컴 다회주유소,서울 은평구 증산로 441,1744,Y,S-OIL,은평구
지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),1754,Y,GS칼텍스,은평구
불광주유소,서울 은평구 연서로 314 (불광동),1757,Y,HD현대오일뱅크,은평구
지에스칼텍스㈜ 신사제일주유소,서울 은평구 증산로 423 (신사동),1764,Y,GS칼텍스,은평구
지에스칼텍스㈜ 서부주유소,서울 은평구 응암로 210 (응암동),1764,Y,GS칼텍스,은평구
응암주유소,서울 은평구 응암로 163,1764,Y,HD현대오일뱅크,은평구
박석고개주유소,서울 은평구 통일로 945 (갈현동),1778,Y,SK에너지,은평구
은평뉴타운주유소,서울 은평구 통일로 924 (불광동),1778,Y,SK에너지,은평구
(주)명연에너지 수색훼미리주유소,서울 은평구 수색로 236 (수색동),1795,Y,HD현대오일뱅크,은평구
성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),1804,Y,GS칼텍스,은평구
뉴타운셀프주유소,서울 은평구 통일로 1031,1805,Y,S-OIL,은평구
대성산업㈜ 대성주유소,서울 은평구 통일로 642,1819,Y,GS칼텍스,은평구
코끼리주유소,서울 은평구 서오릉로 41 (녹번동),1868,N,자가상표,은평구
HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),1778,Y,HD현대오일뱅크,종로구
㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),1895,Y,HD현대오일뱅크,종로구
안풍주유소,서울 종로구 자하문로 303,1899,N,S-OIL,종로구
자하문주유소,서울 종로구 자하문로 248 (부암동),1899,Y,SK에너지,종로구
구도일주유소특종,서울 종로구 평창문화로 90 (평창동),1930,N,S-OIL,종로구
(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,2297,N,SK에너지,종로구
SK북악주유소,서울 종로구 평창문화로 137,2348,N,SK에너지,종로구
경복궁주유소,서울 종로구 율곡로 6 (중학동),2360,N,GS칼텍스,종로구
(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65 (사직동),2370,N,GS칼텍스,종로구
다산주유소,서울 중구 다산로 233,1789,Y,S-OIL,중구
세화주유소,서울 중구 왕십리로 403,1878,N,알뜰주유소,중구
장충드림주유소,서울 중구 동호로 296,1885,Y,S-OIL,중구
HD현대오일뱅크㈜직영 장원주유소,서울 중구 동호로 203 (신당동),1898,N,HD현대오일뱅크,중구
SK에너지(주) 퇴계로주유소,서울 중구 퇴계로 228 (필동2가),1974,N,SK에너지,중구
장충주유소,서울 중구 장충단로 202 (장충동1가),2078,N,SK에너지,중구
신당동주유소,서울 중구 다산로 242 (신당동),2248,N,SK에너지,중구
약수주유소,서울 중구 다산로 173,2438,N,GS칼텍스,중구
필동주유소,서울 중구 퇴계로 196 (필동2가),2569,N,GS칼텍스,중구
서남주유소,서울 중구 통일로 30,2776,N,SK에너지,중구
오천만주유소,서울 중랑구 동일로 547 (면목동),1757,Y,S-OIL,중랑구
(주)자연에너지 대창주유소,서울 중랑구 동일로 636 (면목동),1759,Y,HD현대오일뱅크,중랑구
면목SELF주유소,서울 중랑구 동일로 627 (면목동),1759,Y,SK에너지,중랑구
구도일주유소 동천,서울 중랑구 동일로 654 (면목동),1769,Y,S-OIL,중랑구
대원주유소,서울 중랑구 동일로 600,1769,Y,GS칼텍스,중랑구
대양주유소,서울 중랑구 봉우재로 105 (상봉동),1769,Y,GS칼텍스,중랑구
우림주유소,서울 중랑구 용마산로 487 (망우제3동),1779,Y,GS칼텍스,중랑구
신내주유소,서울 중랑구 용마산로 705 (신내동),1788,Y,SK에너지,중랑구
신일셀프주유소,서울 중랑구 상봉로 58 (망우동),1789,Y,SK에너지,중랑구
(주)태영 구도일주유소 한인,서울 중랑구 망우로 170 (상봉동),1797,Y,S-OIL,중랑구
용마로주유소,서울 중랑구 용마산로 309 (면목동),1798,Y,SK에너지,중랑구
(주)기지에너지,서울 중랑구 용마산로 716 (신내동),1799,N,S-OIL,중랑구
범아주유소,서울 중랑구 동일로 881 (묵동),1859,N,S-OIL,중랑구
화곡역주유소,서울 강서구 강서로 154 (화곡동),1735,Y,알뜰주유소,강서구
이케이에너지(주) 강서주유소,서울 강서구 화곡로 273 (화곡동),1735,Y,HD현대오일뱅크,강서구
목화주유소,서울 강서구 국회대로 251 (화곡동),1745,Y,알뜰주유소,강서구
(주)뉴신정주유소,서울 강서구 곰달래로 207 (화곡동),1745,N,알뜰주유소,강서구
(주)타이거오일 방화주유소,서울 강서구 방화동로 58-2 (방화동),1753,Y,SK에너지,강서구
행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),1755,Y,HD현대오일뱅크,강서구
강서오곡셀프주유소,서울 강서구 벌말로 254 (오곡동),1755,Y,SK에너지,강서구
스카이주유소,서울 강서구 개화동로 457 (방화동),1755,Y,S-OIL,강서구
유턴주유소,서울 강서구 남부순환로 57,1759,Y,알뜰주유소,강서구
KH에너지(주)직영 KH외발산주유소,서울 강서구 방화대로 30,1765,Y,SK에너지,강서구
지에스칼텍스㈜ 경인고속주유소,서울 강서구 국회대로 225 (화곡동),1774,Y,GS칼텍스,강서구
개화주유소,서울 강서구 양천로 57,1777,Y,SK에너지,강서구
(주)한진 김포공항주유소,서울 강서구 하늘길 259,1780,Y,S-OIL,강서구
오션네트웍스(주) 서울식물원지점,서울 강서구 양천로 300,1786,Y,SK에너지,강서구
현대오일뱅크 등촌주유소,서울 강서구 등촌로 189 (등촌동),1786,N,HD현대오일뱅크,강서구
HD현대오일뱅크㈜직영 가양주유소,서울 강서구  양천로 391 (가양동),1788,N,HD현대오일뱅크,강서구
강서열린주유소,서울 강서구 등촌로 213 (등촌동),1788,N,GS칼텍스,강서구
화곡현대주유소,서울 강서구 강서로 151 (화곡동),1794,Y,SK에너지,강서구
HD현대오일뱅크㈜직영 양화교셀프주유소,서울 강서구 공항대로 653,1798,Y,HD현대오일뱅크,강서구
신화곡주유소,서울 강서구 국회대로 71,1798,Y,S-OIL,강서구
세원제1주유소,서울 강서구 양천로 311 (가양동),1808,Y,SK에너지,강서구
대성석유(주) 마곡대성주유소,서울 강서구 강서로 457,1816,Y,GS칼텍스,강서구
대성석유(주)방화대성주유소,서울 강서구 양천로 176,1826,Y,GS칼텍스,강서구
우장산주유소,서울 강서구 강서로 292 (내발산동),1835,Y,SK에너지,강서구
대성석유(주) 관문주유소,서울 강서구 공항대로 314,1836,N,GS칼텍스,강서구
SK KH에너지 가양주유소,서울 강서구 강서로 498 (가양동),1838,N,SK에너지,강서구
대성주유소,서울 강서구 강서로 472,1838,N,GS칼텍스,강서구
(주)한진 김포공항제2주유소,서울 강서구 하늘길 112,1854,Y,S-OIL,강서구
박물관주유소,서울 강서구 양천로53길 97 (가양동),1858,N,GS칼텍스,강서구
코리나(주)청룡주유소,서울 강서구 양천로 576,1878,N,SK에너지,강서구
하이웨이주유소,서울특별시 강서구 공항대로 432(화곡동),1893,Y,S-OIL,강서구
참솔에너지,서울 강서구 벌말로 281 (오곡동),1995,Y,S-OIL,강서구
염창동주유소,서울 강서구 양천로 720 (염창동),2133,N,SK에너지,강서구
HD현대오일뱅크㈜직영 문성골주유소,서울 관악구 문성로 97 (신림동),1769,N,HD현대오일뱅크,관악구
(주)엠오티이엔지 직영 삼화주유소,서울 관악구 보라매로 41,1775,N,HD현대오일뱅크,관악구
HD현대오일뱅크㈜직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),1779,Y,HD현대오일뱅크,관악구
(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),1795,Y,알뜰주유소,관악구
대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),1805,Y,SK에너지,관악구
(주)한유에너지행운셀프주유소,서울 관악구 남부순환로 1883 (봉천동),1805,Y,SK에너지,관악구
서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),1815,Y,GS칼텍스,관악구
SK에너지(주) 신봉천,서울 관악구 남부순환로 1880 (봉천동),1815,N,SK에너지,관악구
SK에너지(주)직영 대공원주유소,서울 관악구 과천대로 921 (남현동),1815,N,SK에너지,관악구
유림주유소,서울 관악구 신림로 176 (신림동),1828,N,S-OIL,관악구
현대주유소,서울 관악구 난곡로 108 (신림동),1829,N,HD현대오일뱅크,관악구
관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),1896,N,S-OIL,관악구
CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),1918,N,GS칼텍스,관악구
지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,1929,N,GS칼텍스,관악구
태양주유소,서울 광진구 동일로 345 (중곡동),1764,N,HD현대오일뱅크,광진구
HD현대오일뱅크㈜직영 능동주유소,서울 광진구 천호대로 584 (능동),1765,Y,HD현대오일뱅크,광진구
(주)창원CW,서울 광진구 광나루로 460 (화양동),1765,Y,HD현대오일뱅크,광진구
대원주유소,서울 광진구 용마산로 122 (중곡동),1769,N,S-OIL,광진구
