제목,저자,역자,출간일,페이지수,가격
스마트 물류 비즈니스를 위한 글로벌 공급사슬관리(2판),"김종락, 김시영, 신건철", ,2022-08-30,320,29000
신제품 개발 관리,김종배, ,2022-08-30,412,29000
광고론(2판),김종배, ,2022-08-29,408,34000
"전략경영 : 개념과 사례, 경쟁우위 접근법 (제17판)","Fred R. David, Forest R. David, Meredith E. David","박재신, 신상윤, 김장훈",2022-08-25,612,39000
"STEM CookBook, 문제 해결력을 키우는 기계설계",이상범, ,2022-08-05,680,34000
경영분석(6판),"장영광, 송치승", ,2022-07-22,556,36000
"IT CookBook, 기초부터 시작하는 PLC : OMRON NX","정완보, 이진호", ,2022-07-18,636,32000
"IT CookBook, 원리로 이해하는 전력전자공학(2판)","원충연, 김영렬, 이택기, 류홍제, 故정용채", ,2022-07-11,588,30000
"IT CookBook, TCP/IP 소켓 프로그래밍(2판)",김선우, ,2022-06-30,600,32000
"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크(3판)",박기현, ,2022-06-30,676,30000
"IT CookBook, 우분투 리눅스(3판)",이종원, ,2022-06-30,800,34000
거시경제학(3판),주상영, ,2022-06-30,640,36000
실용적 접근 방식의 경영학원론(10판),"Angelo Kinicki, Denise Breaux Soignet",김안드레아,2022-06-30,800,39000
"IT CookBook, C로 시작하는 컴퓨터 프로그래밍(4판)","문호석, 손명호", ,2022-06-26,432,23000
"IT CookBook, 인터넷 해킹과 보안(4판)",김경곤, ,2022-06-25,456,29000
"IT CookBook, 파이썬 데이터 분석 for Beginner",우재남, ,2022-06-23,504,28000
"Strategic Management, 17th Edition","Fred R. David, Forest R. David, Meredith E. David", ,2022-06-22,672,79000
"IT CookBook, 엑셀 2019",김지연, ,2022-06-20,456,20000
"IT CookBook, 소프트웨어 공학 이론과 실제",홍장의, ,2022-06-10,528,33000
공학도라면 반드시 알아야 할 최소한의 수학(8판),John Bird,이재원,2022-06-10,432,25000
"IT CookBook, UI/UX 디자인 이론과 실무 with 어도비 XD",이영주, ,2022-05-20,512,30000
"STEM CookBook, 공학 기초수학(2판)",함남우, ,2022-05-02,484,22000
"STEM CookBook, Beer의 정역학과 재료역학(3판)","Ferdinand P. Beer, E. Russell Johnston, Jr., John T. DeWolf, David F. Mazurek","김경식, 박재균, 오창국, 이정휘",2022-03-22,772,39000
STEIN 푸리에 해석학,"ELIAS M. STEIN, RAMI SHAKARCHI","한빛수학교재연구소, 이상혁(감수)",2022-03-18,348,38000
미분적분학 : 기초부터 응용까지,수학교재편찬위원회, ,2022-03-04,680,35000
인공지능 시대의 문화기술,"두일철, 오세종", ,2022-03-02,444,22000
재무회계 with IFRS,"Jerry Weygandt, Paul Kimmel, Don Kieso",윤현철,2022-03-02,784,44000
상법강의,서성호, ,2022-02-28,748,45000
소비자 행동론 제 13판,Michael R. Solomon,"황장선, 이지은, 전승우, 최자영",2022-02-21,632,39000
파이썬으로 시작하는 컴퓨터 프로그래밍,조동영, ,2022-02-21,432,25000
STEIN 복소해석학,"ELIAS M. STEIN, RAMI SHAKARCHI","김영원(감수), 한빛수학교재연구소",2022-02-10,420,36000
운영관리(13판),"Jay Heizer, Barry Render, Chuck Munson","김민균, 김상기, 박상찬, 최대헌",2022-02-10,936,42000
"STEM CookBook, 문제 해결력을 키우는 동역학","유봉조, 박경수", ,2022-01-29,456,32000
"IT CookBook, 디지털 신호 처리(2판)",이철희, ,2022-01-28,668,33000
조직행동론(3판),Angelo Kinicki,김안드레아,2022-01-28,784,38000
ISE Business Statistics: Communicating with Numbers [4th Edition],"Sanjiv Jaggia, Alison Kelly", ,2022-01-26,800,50000
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(7판)","우재남, 박길식", ,2022-01-22,580,33000
"IT CookBook, 원리로 이해하는 무선공학",홍익표, ,2022-01-22,624,32000
"IT CookBook, 실전에 강한 드론 제작과 정비 : 이론부터 실무까지",박장환, ,2022-01-20,380,28000
"IT CookBook, 쉽게 배우는 자료구조 with 자바",문병로, ,2022-01-16,500,29000
"IT CookBook, 쉽게 배우는 자료구조 with 파이썬",문병로, ,2022-01-16,448,29000
"IT CookBook, 데이터베이스 개론(3판)",김연희, ,2022-01-15,552,29000
"IT CookBook, 디지털 논리회로 실험(2판)","홍경호, 임석구", ,2022-01-15,468,25000
"IT CookBook, 디지털 논리회로(4판)","임석구, 홍경호", ,2022-01-15,816,32000
공학도를 위한 수치해석(8판),"Steven C.Chapra, Raymond P. Canale","나양, 이승배, 임윤철",2022-01-10,600,36000
"Case, Fair, Oster의 경제학원론","Karl E. Case, Ray C. Fair, Sharon M. Oster","박원규, 이상규",2022-01-03,800,39000
"IT CookBook, C 언어 for Beginner 4판",우재남, ,2022-01-03,536,26000
"IT CookBook, 가상현실의 이해",송은지, ,2022-01-03,288,22000
"IT CookBook, 난생처음 C 언어 프로그래밍",김화수, ,2022-01-03,540,25000
"IT CookBook, 데이터 과학을 위한 파이썬 머신러닝",최성철, ,2022-01-03,508,30000
"IT CookBook, 엑셀과 파워포인트 2019",김지연, ,2022-01-03,548,23000
"IT CookBook, 자바스크립트 프로그래밍 입문(2판)",윤인성, ,2022-01-03,512,27000
"IT CookBook, 파이썬 for Beginner(3판)",우재남, ,2022-01-03,524,25000
기본 재무관리(제5판),"Jonathan Berk, Peter DeMarzo, Jarrad Harford","선정훈, 고광수, 변진호",2021-12-31,912,42000
(개발자에게 필요 없는 수학은 없다) 프로그래머를 위한 수학,폴 올랜드,"노희준, 박종태, 박한길, 신정규",2021-12-29,732,42000
"STEM CookBook, 컴퓨팅 사고력을 키우는 이산수학(3판)",박주미, ,2021-12-26,652,29000
"IT CookBook, 그림으로 배우고 실생활 예제로 실습하는 자바를 부탁해",박세홍(홍팍), ,2021-10-29,556,26000
온톨로지 과학자를 위한 지식그래프,"딘 알레망, 제임스 핸들러, 파비엔 갠던",김학래,2021-10-29,544,45000
"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스",이종원, ,2021-10-15,552,28000
